
Image Name                     PID Session Name        Session#    Mem Usage
dllhost.exe                   7684 Console                    1     10,748 K
unsecapp.exe                  8064 Services                   0     10,072 K
RuntimeBroker.exe             5636 Console                    1      6,308 K
svchost.exe                   3148 Services                   0      7,944 K
MicrosoftEdgeCP.exe           7416 Console                    1     17,856 K
MicrosoftEdgeSH.exe           8216 Console                    1     11,140 K
RuntimeBroker.exe             4168 Console                    1     32,508 K
AMDRSServ.exe                 1748 Console                    1     10,664 K
svchost.exe                   4980 Services                   0      7,588 K
svchost.exe                   7348 Services                   0     21,628 K
svchost.exe                   5320 Console                    1     10,280 K
OneDrive.exe                 10012 Console                    1     45,836 K
AvastUI.exe                   2804 Console                    1     84,380 K
RuntimeBroker.exe            10276 Console                    1     21,088 K
SearchUI.exe                 10520 Console                    1    185,620 K
ShellExperienceHost.exe       9056 Console                    1     57,180 K
RuntimeBroker.exe            10592 Console                    1     24,572 K
svchost.exe                   1432 Services                   0      7,292 K
IAStorIcon.exe                5100 Console                    1     33,820 K
SkypeApp.exe                  7436 Console                    1     27,140 K
YourPhone.exe                 1196 Console                    1     22,864 K
svchost.exe                   7880 Services                   0     10,576 K
RuntimeBroker.exe             2124 Console                    1     11,220 K
SecurityHealthService.exe    11440 Services                   0     10,828 K
RuntimeBroker.exe            11756 Console                    1      9,284 K
GoogleCrashHandler.exe       11708 Services                   0        108 K
GoogleCrashHandler64.exe     12752 Services                   0         76 K
svchost.exe                   7924 Services                   0     17,456 K
VBoxSVC.exe                  13036 Console                    1     22,476 K
AvastUI.exe                  11620 Console                    1     32,500 K
VBoxSDS.exe                  13628 Services                   0      9,652 K
dllhost.exe                  14088 Console                    1      7,408 K
SgrmBroker.exe               14212 Services                   0      5,812 K
svchost.exe                  13720 Services                   0      8,156 K
CompPkgSrv.exe                9116 Console                    1      6,836 K
svchost.exe                  14220 Services                   0     10,372 K
WinStore.App.exe             13876 Console                    1      3,264 K
RuntimeBroker.exe             9508 Console                    1     13,632 K
Video.UI.exe                 11640 Console                    1        136 K
RuntimeBroker.exe            11988 Console                    1      8,388 K
SystemSettings.exe           12620 Console                    1        176 K
svchost.exe                   4764 Services                   0     10,060 K
